Sample	sites	replicates	site_altname	Station	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Datecode	Date	Year	Month	Day	D.O (mg/l)	TEMP(C)	SALINITY(psu)	TIME	WEATHER
T5SWessuck_S13_L002	23	T5WC	23	WESSUCK CLAM	NA	0.4	40.838677	-72.568717	W	CLAM SANCTUARY	Shallow	20250902	9/2/25	2025	9	2	NA	NA	NA	NA	SUNNY
T6Blank_S13_L002	NA	T6Blank	NA	NA	negative	1	NA	NA	NA	NA	NA	20250916	9/16/25	2025	9	16	NA	NA	NA	NA	NA
T6S1_S13_L002	12	T6S1	12	PINE NECK	NA	1	40.83347403	-72.55252498	W	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	6.5	30.6	21.6	9:39	CLOUDY AND WINDY
T6S10_S14_L002	11	T6S10	11	SOUTH GRASS	NA	1	40.856391	-72.456575	E	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	7.9	30.7	21.1	12:53	CLOUDY AND WINDY
T6S11_S14_L002	7	T6S11	7	LITTLE POND	NA	1	40.876297	-72.457371	E	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	6.5	30.9	21.7	1:13	CLOUDY AND WINDY
T6S2_S13_L002	10	T6S2	10	WEST MID BAY	NA	1	40.837915	-72.536772	W	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	6.5	30.8	21.6	10:13	CLOUDY AND WINDY
T6S2.1_S13_L002	10	T6S2	10	WEST MID BAY	NA	1	40.837915	-72.536772	W	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	NA	NA	NA	NA	NA
T6S2.2_S13_L002	10	T6S2	10	WEST MID BAY	NA	1	40.837915	-72.536772	W	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	NA	NA	NA	NA	NA
T6S3_S13_L002	9	T6S3	9	DUNE ROAD	NA	0.75	40.828756	-72.532029	W	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	6.1	31.3	20.8	9:51	CLOUDY AND WINDY
T6S4_S13_L002	8	T6S4	8	WEST TIANA	NA	1	40.848629	-72.548015	W	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	6.85	30.9	21.5	10:38	CLOUDY AND WINDY
T6S5_S13_L002	4	T6S5	4	PONQUOGUE BRIDGE	NA	1	40.84662	-72.500542	E	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	7.14	31	21	11:03	CLOUDY AND WINDY
T6S6_S13_L002	3	T6S6	3	INLET	NA	1	40.850855	-72.488632	E	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	8.24	30.7	21.3	11:21	CLOUDY AND WINDY
T6S7_S13_L002	2	T6S7	2	CORMORANT POINT	NA	1	40.862639	-72.493509	E	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	7	30.3	21.3	11:52	CLOUDY AND WINDY
T6S8_S14_L002	1	T6S8	1	SHINNECOCK HILLS	NA	0.9	40.881043	-72.480417	E	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	7.1	30.4	21.8	12:19	CLOUDY AND WINDY
T6S9_S14_L002	13	T6S9	13	EAST MID BAY	NA	1	40.868552	-72.474623	E	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	7.34	30.4	21.4	12:35	CLOUDY AND WINDY
T6S9.1_S14_L002	13	T6S9	13	EAST MID BAY	NA	0.95	40.868552	-72.474623	E	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	NA	NA	NA	NA	NA
T6S9.2_S14_L002	13	T6S9	13	EAST MID BAY	NA	0.95	40.868552	-72.474623	E	OPEN WATER	Trawl	20250916	9/16/25	2025	9	16	NA	NA	NA	NA	NA
T6STiana_S14_L002	24	T6TC	24	TIANA CLAM	NA	0.55	40.86009	-72.537887	W	CLAM SANCTUARY	Shallow	20250916	9/16/25	2025	9	16	NA	NA	NA	NA	CLOUDY AND WINDY
T6SWessuck_S14_L002	23	T6WC	23	WESSUCK CLAM	NA	0.65	40.838677	-72.568717	W	CLAM SANCTUARY	Shallow	20250916	9/16/25	2025	9	16	NA	NA	NA	NA	CLOUDY AND WINDY
